Created,9/24/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,1/21/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,American Indian or Alaska Native Age 3 to 5,Asian or Pacific Islander Age 3 to 5,Black (not Hispanic) Age 3 to 5,Hispanic Age 3 to 5,White (not Hispanic) Age 3 to 5,Age 3-5 Ethnicity Totals,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 6 to 21,American Indian or Alaska Native Age 6 to 21,Asian or Pacific Islander Age 6 to 21,Black (not Hispanic) Age 6 to 21,Hispanic Age 6 to 21,White (not Hispanic) Age 6 to 21,Age 6-21 Ethnicity Totals,Age 22,Age 6 to 22,Age 3-21 Totals
2006,"50 states, D.C. (including BIE schools)           ",Mental retardation                 ,"4,985","6,443","11,864","23,292",123,722,"4,081","4,409","13,957","23,292","15,069","19,680","25,515","30,154","33,594","37,027","161,039","40,507","44,066","47,693","49,669","50,572","47,963","280,470","34,043","17,353","11,961","6,175","69,532","511,041","6,530","10,758","167,357","71,956","254,440","511,041","2,099","361,018","534,333"
2006,"50 states, D.C. (including BIE schools)           ",Hearing impairments                ,"2,158","2,553","3,412","8,123",79,439,921,"1,813","4,871","8,123","4,209","4,812","5,394","5,594","5,822","5,968","31,799","6,177","6,043","6,015","5,922","5,711","5,323","35,191","2,886","1,076",461,176,"4,599","71,589",899,"3,563","11,631","16,256","39,240","71,589",16,"49,221","79,712"
2006,"50 states, D.C. (including BIE schools)           ",Speech or language impairments     ,"59,753","102,899","169,199","331,851","3,910","8,531","41,436","58,078","219,896","331,851","223,860","217,990","194,138","154,572","113,917","75,804","980,281","52,579","36,331","25,947","18,554","14,411","10,425","158,247","4,432",917,322,78,"5,749","1,144,277","15,486","36,042","176,663","200,632","715,454","1,144,277",4,"773,663","1,476,128"
2006,"50 states, D.C. (including BIE schools)           ",Visual impairments                 ,967,"1,141","1,405","3,513",57,125,409,781,"2,141","3,513","1,619","1,872","1,989","2,071","2,039","2,078","11,668","1,994","1,994","2,180","2,072","2,136","1,803","12,179",979,446,252,137,"1,814","25,661",350,"1,085","4,409","4,630","15,187","25,661",18,"17,940","29,174"
2006,"50 states, D.C. (including BIE schools)           ",Emotional disturbance              ,980,"1,522","3,922","6,424",39,88,"1,169",498,"4,630","6,424","7,077","12,955","18,956","24,228","29,037","34,544","126,797","41,305","47,748","53,035","57,149","56,382","46,373","301,992","20,566","5,458","2,074",844,"28,942","457,731","7,159","5,128","131,773","50,756","262,917","457,733",129,"316,776","464,155"
2006,"50 states, D.C. (including BIE schools)           ",Orthopedic impairments             ,"2,152","2,566","3,397","8,115",68,310,997,"1,971","4,769","8,115","4,373","4,538","4,949","5,161","5,002","4,995","29,018","4,974","4,787","4,659","4,723","4,497","3,922","27,562","2,382","1,100",772,495,"4,749","61,329",592,"2,160","9,092","12,842","36,643","61,329",89,"40,468","69,444"
2006,"50 states, D.C. (including BIE schools)           ",Other health impairments           ,"3,389","3,673","8,712","15,774",139,481,"2,116","3,168","9,870","15,774","18,156","25,592","37,863","47,522","53,622","57,271","240,026","58,832","59,830","59,027","57,501","53,331","43,272","331,793","17,672","3,827","1,264",491,"23,254","595,073","7,426","8,862","103,456","58,631","416,698","595,073",53,"393,165","610,847"
2006,"50 states, D.C. (including BIE schools)           ",Specific learning disabilities     ,"3,034","3,193","8,362","14,589",105,430,"2,239","4,608","7,207","14,589","25,835","64,496","125,388","181,543","221,699","247,720","866,681","269,808","276,546","282,246","286,879","280,632","247,259","1,643,370","116,557","21,394","5,074","1,592","144,617","2,654,668","46,093","45,065","544,761","563,382","1,455,378","2,654,679",144,"1,818,391","2,669,257"
2006,"50 states, D.C. (including BIE schools)           ",Deaf-blindness                     ,60,59,85,204,5,13,20,42,124,204,88,85,99,90,83,100,545,111,102,105,118,112,109,657,72,67,48,24,211,"1,413",27,58,196,263,869,"1,413",0,"1,016","1,617"
2006,"50 states, D.C. (including BIE schools)           ",Multiple disabilities              ,"1,971","2,370","4,990","9,331",78,359,"1,536","1,460","5,898","9,331","6,809","6,978","8,117","9,081","9,318","9,734","50,037","10,228","10,668","10,818","11,208","11,036","10,116","64,074","7,405","5,170","4,053","2,107","18,735","132,846","1,807","3,593","27,778","17,576","82,092","132,846",498,"49,869","142,177"
2006,"50 states, D.C. (including BIE schools)           ",Autism                             ,"7,538","10,504","16,841","34,883",189,"2,658","4,409","6,107","21,520","34,883","21,129","21,137","22,003","21,282","19,943","19,635","125,129","17,674","16,701","16,020","13,837","11,727","9,412","85,371","5,845","3,430","2,384","1,236","12,895","223,395","1,649","11,953","32,085","25,834","151,874","223,395",364,"151,279","258,278"
2006,"50 states, D.C. (including BIE schools)           ",Traumatic brain injury             ,213,307,507,"1,027",14,22,147,149,695,"1,027",719,959,"1,249","1,439","1,782","1,913","8,061","2,006","2,167","2,209","2,319","2,397","2,316","13,414","1,318",556,342,176,"2,392","23,867",386,603,"3,936","3,149","15,793","23,867",18,"16,567","24,894"
2006,"50 states, D.C. (including BIE schools)           ",Developmental delay                ,"76,885","107,045","65,579","249,509","4,766","7,988","44,468","36,996","155,291","249,509","37,484","28,501","14,719","3,050",0,0,"83,754",0,0,0,0,0,0,0,0,0,0,0,0,"83,754","3,088","2,229","18,785","8,230","51,422","83,754",0,"83,754","333,263"
2006,"50 states, D.C. (including BIE schools)           ",All disabilities                   ,"164,085","244,275","298,275","706,635","9,572","22,166","103,948","120,080","450,869","706,635","366,427","409,595","460,379","485,787","495,858","496,789","2,714,835","506,195","506,983","509,954","509,951","492,944","428,293","2,954,320","214,157","60,794","29,007","13,531","317,489","5,986,644","91,492","131,099","1,231,922","1,034,137","3,498,007","5,986,657","3,432","4,053,770","6,693,279"
2006,Alabama                                           ,Mental retardation                 ,         x,0,         x,         x,0,0,         x,0,         x,         x,42,101,249,448,482,553,"1,875",631,736,870,975,991,952,"5,155",670,277,140,27,"1,114","8,144",37,23,"4,424",102,"3,558","8,144",         x,         x,         x
2006,Alabama                                           ,Hearing impairments                ,24,30,30,84,0,0,         x,         x,57,84,55,56,67,73,64,81,396,68,88,77,81,65,78,457,61,27,7,0,95,948,9,7,395,35,502,948,0,948,"1,032"
2006,Alabama                                           ,Speech or language impairments     ,732,"1,572","2,859","5,163",27,42,"1,470",62,"3,562","5,163","3,628","3,238","2,599","2,035","1,302",919,"13,721",694,505,392,254,235,205,"2,285",111,         x,         x,0,138,"16,144",87,101,"5,550",273,"10,133","16,144",0,"16,144","21,307"
2006,Alabama                                           ,Visual impairments                 ,8,9,12,29,0,0,14,         x,         x,29,         x,         x,24,         x,44,41,         x,         x,30,54,40,43,         x,         x,         x,         x,0,0,         x,454,9,         x,161,         x,276,454,0,454,483
