Extraction Date:,7/10/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,EL Yes Age 3 to 5,EL No Age 3 to 5,Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,EL Yes Age 6 to 21,EL No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2018,Alabama,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,2,4,4,10,26,5,0,7,45,52,0,52,1,51,0,0,43,0,0,0,9
2018,Alabama,Home,All Disabilities,39,38,27,1,0,10,7,0,0,86,45,59,1,103,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,12,10,20,12,17,16,20,20,29,41,41,15,14,9,1,84,167,39,290,6,284,107,183,3,6,91,15,0,1,174
2018,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312,398,442,503,532,510,477,403,411,380,331,312,226,102,39,7,2697,2314,374,5385,271,5114,1770,3615,28,54,1962,374,5,136,2826
2018,Alabama,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4908,5601,6119,6585,6927,6798,6176,5774,5388,5096,4663,4419,2546,386,28,5,36938,31516,2965,71419,2820,68599,24075,47344,662,404,26004,4571,55,1550,38173
2018,Alabama,Inside regular class less than 40% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,431,461,461,460,463,484,435,434,428,447,444,407,378,213,163,27,2760,2595,781,6136,305,5831,2001,4135,35,79,2613,441,5,114,2849
2018,Alabama,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,79,81,34,24,16,13,8,4,2,5,2,0,0,1,0,316,34,1,351,2,349,119,232,2,6,47,11,0,1,284
2018,Alabama,"Residential Facility, Age 3-5",All Disabilities,2,0,9,0,0,6,0,0,0,5,5,6,0,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,13,10,17,33,35,46,58,76,80,93,112,60,24,17,3,113,465,104,682,3,679,232,450,0,1,292,25,1,2,361
2018,Alabama,Separate Class,All Disabilities,50,61,65,0,5,42,22,1,5,101,49,127,7,169,176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,"Separate School, Age 3-5",All Disabilities,17,13,34,0,1,16,2,0,1,44,22,42,0,64,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,"Separate School, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,56,47,64,96,83,80,79,119,87,93,84,74,52,48,9,396,542,183,1121,17,1104,364,757,1,12,476,59,0,29,544
2018,Alabama,Service Provider Location,All Disabilities,286,261,158,2,13,104,56,2,5,523,219,486,7,698,705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),All Disabilities,280,663,1516,11,34,581,101,3,45,1684,778,1681,39,2420,2459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),All Disabilities,40,60,120,0,3,59,12,0,5,141,57,163,6,214,220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),All Disabilities,641,1271,1874,18,58,1294,228,4,55,2129,1132,2654,64,3722,3786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),All Disabilities,163,167,181,0,9,138,45,0,14,305,148,363,6,505,511,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,"Total, Age 3-5",All Disabilities,1518,2534,3984,32,123,2250,473,10,130,5018,2455,5581,130,7906,8036,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,"Total, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5801,6620,7170,7683,8087,7943,7243,6776,6446,6122,5672,5381,3303,801,331,57,43304,37640,4492,85436,3424,82012,28669,56767,731,562,31528,5496,66,1833,45220
2018,Alabama,Correctional Facilities,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Home,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Homebound/Hospital,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,15,2,22,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Inside regular class 40% through 79% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514,390,63,967,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Inside regular class 80% or more of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2167,2122,188,4477,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Inside regular class less than 40% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,868,688,190,1746,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,Parentally Placed in Private Schools,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,0,32,-,-,-,-,-,-,-,-,-,-,-
2018,Alabama,"Residential Facility, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
