Created,10/5/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,1/21/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,American Indian or Alaska Native Age 3 to 5,Asian or Pacific Islander Age 3 to 5,Black (not Hispanic) Age 3 to 5,Hispanic Age 3 to 5,White (not Hispanic) Age 3 to 5,Age 3-5 Ethnicity Totals,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 6 to 21,American Indian or Alaska Native Age 6 to 21,Asian or Pacific Islander Age 6 to 21,Black (not Hispanic) Age 6 to 21,Hispanic Age 6 to 21,White (not Hispanic) Age 6 to 21,Age 6-21 Ethnicity Totals,Age 22,Age 6 to 22,Age 3-21 Totals
2005,"50 states, D.C. (including BIE schools)           ",Mental retardation                 ,"4,386","6,661","11,633","22,680",132,671,"3,828","4,295","13,754","22,680","15,226","20,372","25,914","31,471","35,844","39,768","168,595","44,073","47,899","50,391","52,555","51,910","48,136","294,964","34,235","17,591","11,818","6,223","69,867","533,426","6,709","10,887","179,564","70,170","266,096","533,426","2,175","200,252","556,106"
2005,"50 states, D.C. (including BIE schools)           ",Hearing impairments                ,"2,041","2,542","3,194","7,777",84,373,943,"1,720","4,657","7,777","4,236","4,808","5,221","5,607","5,817","6,200","31,889","6,084","6,041","6,116","5,909","5,617","5,161","34,928","2,970","1,070",451,176,"4,667","71,484",930,"3,519","11,669","15,651","39,715","71,484",18,"25,952","79,261"
2005,"50 states, D.C. (including BIE schools)           ",Speech or language impairments     ,"57,619","105,880","162,396","325,895","3,824","7,928","41,172","54,252","218,719","325,895","224,475","219,564","191,254","154,715","114,443","77,265","981,716","51,809","36,834","25,340","18,420","13,521","10,037","155,961","4,239",897,314,68,"5,518","1,143,195","15,240","35,071","177,168","193,188","722,528","1,143,195",1,"396,132","1,469,090"
2005,"50 states, D.C. (including BIE schools)           ",Visual impairments                 ,923,"1,137","1,339","3,399",54,128,379,757,"2,081","3,399","1,619","1,780","1,959","2,024","2,036","2,030","11,448","1,994","2,130","2,034","2,146","1,896","1,808","12,008","1,093",418,280,122,"1,913","25,369",357,"1,015","4,481","4,326","15,190","25,369",14,"9,311","28,768"
2005,"50 states, D.C. (including BIE schools)           ",Emotional disturbance              ,836,"1,577","3,368","5,781",34,71,970,392,"4,314","5,781","7,215","12,978","18,723","24,576","30,463","37,299","131,254","44,309","50,425","55,548","59,008","55,769","45,783","310,842","20,567","5,485","2,208",950,"29,210","471,306","7,172","5,393","135,730","50,686","272,325","471,306",108,"162,559","477,087"
2005,"50 states, D.C. (including BIE schools)           ",Orthopedic impairments             ,"2,163","2,609","3,385","8,157",67,332,"1,027","1,955","4,776","8,157","4,539","4,737","5,149","5,137","5,265","5,214","30,041","5,030","4,904","4,945","4,669","4,334","3,983","27,865","2,311","1,161",777,463,"4,712","62,618",591,"2,168","9,482","12,609","37,768","62,618",103,"29,100","70,775"
2005,"50 states, D.C. (including BIE schools)           ",Other health impairments           ,"2,808","3,668","6,509","12,985",119,437,"1,741","2,708","7,980","12,985","17,323","25,159","35,811","45,094","50,764","55,193","229,344","55,805","56,122","55,854","53,511","47,844","38,103","307,239","15,479","3,358","1,242",459,"20,538","557,121","6,669","8,301","95,238","52,567","394,346","557,121",48,"194,831","570,106"
2005,"50 states, D.C. (including BIE schools)           ",Specific learning disabilities     ,"1,454","2,949","7,519","11,922",101,313,"1,502","3,131","6,875","11,922","26,117","67,892","128,273","187,923","230,154","257,474","897,833","277,232","287,443","295,016","299,175","281,358","245,261","1,685,485","115,756","21,892","5,174","1,662","144,484","2,727,802","47,695","46,530","552,541","557,994","1,523,042","2,727,802",120,"948,099","2,739,724"
2005,"50 states, D.C. (including BIE schools)           ",Deaf-blindness                     ,67,81,85,233,5,13,22,52,141,233,86,95,98,94,109,110,592,105,115,136,121,124,103,704,109,68,43,23,243,"1,539",25,69,200,298,947,"1,539",3,540,"1,772"
2005,"50 states, D.C. (including BIE schools)           ",Multiple disabilities              ,"1,837","2,452","4,108","8,397",81,346,"1,343","1,259","5,368","8,397","6,863","6,942","8,138","9,090","9,452","9,965","50,450","10,413","10,857","11,016","10,887","10,854","9,887","63,914","7,101","5,049","4,086","1,995","18,231","132,595","1,753","3,485","27,874","17,155","82,328","132,595",517,"29,924","140,992"
