Created,1/19/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,10/18/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,3/22/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,American Indian or Alaska Native Age 3 to 5,Asian or Pacific Islander Age 3 to 5,Black (not Hispanic) Age 3 to 5,Hispanic Age 3 to 5,White (not Hispanic) Age 3 to 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 6 to 21,American Indian or Alaska Native Age 6 to 21,Asian or Pacific Islander Age 6 to 21,Black (not Hispanic) Age 6 to 21,Hispanic Age 6 to 21,White (not Hispanic) Age 6 to 21,"Ages3_21
Total "
2007,"50 states, D.C.  (including BIE schools) ",Mental retardation                 ,"2,109","3,060","7,222","12,391",86,583,"2,310","3,966","5,429","14,181","19,028","24,330","29,381","32,037","34,428","153,385","37,295","40,492","43,614","46,724","47,522","47,049","262,696","34,369","17,991","12,109","6,625","71,094","487,175","6,422","10,725","155,103","72,754","240,316","499,566"
2007,"50 states, D.C.  (including BIE schools) ",Hearing impairments                ,"2,072","2,442","3,167","7,681",87,470,899,"1,846","4,361","4,125","4,841","5,321","5,697","5,781","5,975","31,740","5,887","6,107","5,864","5,769","5,692","5,297","34,616","3,097","1,034",472,169,"4,772","71,128",855,"3,742","11,516","16,569","38,269","78,809"
2007,"50 states, D.C.  (including BIE schools) ",Speech or language impairments     ,"56,930","99,836","162,502","319,268","3,823","8,937","38,900","59,290","207,436","215,833","216,009","192,163","157,538","115,266","76,383","973,192","50,736","36,326","24,969","18,655","14,505","11,340","156,531","4,649",913,271,82,"5,915","1,135,638","15,589","37,321","174,807","207,146","697,406","1,454,906"
2007,"50 states, D.C.  (including BIE schools) ",Visual impairments                 ,831,"1,035","1,341","3,207",58,138,401,732,"1,873","1,672","1,850","2,050","2,111","2,096","2,065","11,844","2,046","2,012","1,967","2,131","2,026","2,040","12,222",978,379,263,115,"1,735","25,801",338,"1,068","4,404","4,774","15,138","29,008"
2007,"50 states, D.C.  (including BIE schools) ",Emotional disturbance              ,236,599,"2,600","3,435",48,58,741,432,"2,143","6,986","12,729","18,604","23,850","28,016","32,220","122,405","37,124","43,721","49,335","54,071","54,617","47,296","286,164","21,178","5,571","2,214",817,"29,780","438,349","7,038","5,038","126,338","50,414","247,675","441,784"
2007,"50 states, D.C.  (including BIE schools) ",Orthopedic impairments             ,"1,878","2,362","3,178","7,418",53,330,879,"1,918","4,228","4,063","4,531","4,723","4,916","4,959","4,757","27,949","4,754","4,756","4,559","4,469","4,469","4,109","27,116","2,417","1,178",800,481,"4,876","59,941",610,"2,219","8,575","13,088","35,328","67,359"
2007,"50 states, D.C.  (including BIE schools) ",Other health impairments           ,"3,007","3,996","9,247","16,250",161,590,"1,969","3,364","10,132","17,102","27,089","37,886","49,317","55,721","59,984","247,099","61,728","63,358","62,309","59,974","55,698","47,888","350,955","20,720","4,151","1,337",426,"26,634","624,688","7,954","9,521","110,906","65,008","428,554","640,938"
2007,"50 states, D.C.  (including BIE schools) ",Specific learning disabilities     ,"2,072","3,210","7,871","13,153",123,401,"1,622","4,725","6,263","23,024","60,530","117,045","175,212","212,509","237,710","826,030","254,393","265,163","269,535","273,360","271,115","251,826","1,585,392","119,520","21,998","5,032","1,750","148,300","2,559,722","44,815","44,527","528,205","564,879","1,370,651","2,572,875"
2007,"50 states, D.C.  (including BIE schools) ",Deaf-blindness                     ,48,58,86,192,4,11,29,39,109,78,100,102,85,87,77,529,83,103,96,95,108,99,584,79,51,44,23,197,"1,310",25,55,169,251,804,"1,502"
2007,"50 states, D.C.  (including BIE schools) ",Multiple disabilities              ,"1,320","1,662","3,931","6,913",78,340,"1,163","1,336","3,985","6,129","7,270","8,018","8,852","9,241","9,405","48,915","9,878","10,280","10,718","10,906","11,028","10,318","63,128","7,691","5,316","4,173","2,040","19,220","131,263","1,647","3,686","27,340","17,721","80,456","138,176"
2007,"50 states, D.C.  (including BIE schools) ",Autism                             ,"7,964","12,323","18,819","39,106",242,"3,109","4,832","7,251","23,577","24,035","24,944","24,493","24,546","22,720","21,082","141,820","20,355","19,068","17,732","16,535","14,004","11,638","99,332","7,125","4,049","2,856","1,393","15,423","256,575","1,905","14,080","36,246","31,651","171,805","295,681"
2007,"50 states, D.C.  (including BIE schools) ",Traumatic brain injury             ,200,266,435,901,14,24,130,153,579,686,966,"1,198","1,507","1,679","1,904","7,940","2,024","2,072","2,156","2,284","2,426","2,467","13,429","1,407",541,326,169,"2,443","23,812",373,579,"3,877","3,191","15,725","24,713"
2007,"50 states, D.C.  (including BIE schools) ",Developmental delay                ,"81,103","116,120","71,793","269,016","4,637","8,636","45,915","39,509","168,634","38,466","30,709","15,887","3,495",0,0,"88,557",         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,"88,557","3,213","2,435","20,186","9,123","53,115","357,573"
2007,"50 states, D.C.  (including BIE schools) ",All disabilities                   ,"159,770","246,969","292,192","698,931","9,414","23,627","99,790","124,561","438,749","356,380","410,596","451,820","486,507","490,112","485,990","2,681,405","486,303","493,458","492,854","494,973","483,210","441,367","2,892,165","223,230","63,172","29,897","14,090","330,389","5,903,959","90,784","134,996","1,207,672","1,056,569","3,395,242","6,602,890"
2007,Alabama                                           ,Mental retardation                 ,0,         x,         x,         x,0,0,         x,0,         x,30,102,204,392,467,492,"1,687",569,613,718,818,867,845,"4,430",672,259,148,17,"1,096","7,213",40,22,"3,746",102,"3,303",         x
2007,Alabama                                           ,Hearing impairments                ,24,22,34,80,0,         x,19,         x,51,40,57,61,71,78,66,373,81,70,89,73,78,61,452,56,28,6,0,90,915,11,8,367,37,492,995
2007,Alabama                                           ,Speech or language impairments     ,570,"1,265","2,443","4,278",16,31,"1,246",68,"2,917","3,085","3,250","2,535","1,944","1,444",860,"13,118",611,480,390,265,204,198,"2,148",108,22,5,0,135,"15,401",100,91,"5,213",290,"9,707","19,679"
2007,Alabama                                           ,Visual impairments                 ,10,7,13,30,0,         x,10,         x,16,         x,         x,34,30,49,47,         x,         x,30,         x,55,35,45,         x,         x,         x,5,0,         x,457,         x,         x,162,         x,272,487
2007,Alabama                                           ,Emotional disturbance              ,0,0,0,0,0,0,0,0,0,14,37,67,92,133,149,492,154,182,189,216,191,153,"1,085",72,10,8,0,90,"1,667",5,0,605,21,"1,036","1,667"
2007,Alabama                                           ,Orthopedic impairments             ,16,15,33,64,         x,         x,20,         x,38,20,35,49,57,61,51,273,59,49,         x,56,46,         x,281,23,11,         x,         x,43,597,         x,         x,183,13,393,661
2007,Alabama                                           ,Other health impairments           ,18,29,36,83,0,0,         x,         x,64,97,204,338,453,548,538,"2,178",599,645,683,595,556,456,"3,534",242,59,         x,         x,315,"6,027",45,18,"1,829",71,"4,064","6,110"
2007,Alabama                                           ,Specific learning disabilities     ,         x,         x,         x,7,0,0,         x,0,         x,75,576,"1,329","2,459","2,977","3,434","10,850","3,766","3,978","4,489","4,606","4,419","3,772","25,030","2,324",561,109,8,"3,002","38,882",274,120,"18,416",905,"19,167","38,889"
2007,Alabama                                           ,Deaf-blindness                     ,         x,         x,0,         x,         x,0,         x,0,0,         x,0,         x,0,0,0,         x,0,0,0,0,         x,         x,         x,         x,0,         x,0,         x,5,0,0,         x,0,         x,         x
2007,Alabama                                           ,Multiple disabilities              ,23,26,39,88,0,         x,31,         x,50,35,55,71,114,96,89,460,115,88,111,110,93,83,600,92,73,49,12,226,"1,286",6,13,531,26,710,"1,374"
2007,Alabama                                           ,Autism                             ,55,73,100,228,0,6,52,7,163,166,212,252,277,252,210,"1,369",221,175,191,167,138,104,996,69,41,25,9,144,"2,509",17,22,826,39,"1,605","2,737"
2007,Alabama                                           ,Traumatic brain injury             ,         x,         x,7,16,0,0,5,0,11,         x,         x,         x,13,11,16,         x,         x,18,         x,30,         x,31,         x,13,         x,         x,0,23,237,         x,         x,         x,         x,         x,253
2007,Alabama                                           ,Developmental delay                ,511,730,992,"2,233",         x,         x,838,87,"1,282",958,866,621,20,0,0,"2,465",         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,"2,465",12,23,"1,032",70,"1,328","4,698"
2007,Alabama                                           ,All disabilities                   ,"1,232","2,175","3,704","7,111",21,67,"2,242",183,"4,598","4,547","5,431","5,571","5,922","6,116","5,952","33,539","6,230","6,328","6,958","6,991","6,650","5,779","38,936","3,682","1,075",380,49,"5,186","77,661",528,324,"32,989","1,587","42,233","84,772"
2007,Alaska                                            ,Mental retardation                 ,0,         x,         x,         x,         x,0,0,0,         x,9,12,21,45,51,56,194,42,54,54,54,68,76,348,53,36,30,28,147,689,244,44,38,45,281,         x
2007,Alaska                                            ,Hearing impairments                ,6,         x,         x,14,6,         x,0,         x,6,         x,16,         x,13,14,14,73,9,11,9,11,11,8,59,5,         x,         x,0,13,145,40,17,         x,         x,69,159
