year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7,Ethnicity,el_yes,el_no
2005,Alabama,Mental retardation,9448,37,21,5324,89,3977,9448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Hearing impairments,950,NA,NA,405,22,511,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Speech or language impairments,16949,90,103,6068,224,10464,16949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Visual impairments,445,NA,0,168,NA,263,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Emotional disturbance,2193,NA,NA,868,17,1294,2193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Orthopedic impairments,585,NA,NA,165,11,403,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Other health impairments,6283,37,18,1911,64,4253,6283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Specific learning disabilities,41696,296,113,19480,786,21021,41696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Deaf-blindness,6,0,0,0,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Multiple disabilities,1383,11,8,582,24,758,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Autism,1874,12,20,679,26,1137,1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Traumatic brain injury,274,NA,0,91,NA,174,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,Developmental delay,2331,11,18,952,46,1304,2331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Alabama,All disabilities,84417,529,310,36693,1320,45565,84417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Mental retardation,8144,37,23,4424,102,3558,8144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Hearing impairments,948,9,7,395,35,502,948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Speech or language impairments,16144,87,101,5550,273,10133,16144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Visual impairments,454,9,NA,161,NA,276,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Emotional disturbance,1860,NA,NA,705,16,1129,1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Orthopedic impairments,620,NA,NA,184,12,417,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Other health impairments,6129,41,11,1894,64,4119,6129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Specific learning disabilities,40509,282,110,19196,872,20049,40509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Deaf-blindness,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Multiple disabilities,1386,9,17,564,29,767,1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Autism,2178,17,20,747,27,1367,2178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Traumatic brain injury,NA,NA,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,Developmental delay,2349,11,22,989,50,1277,2349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Alabama,All disabilities,80987,517,319,34899,1490,43762,80987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Mental retardation,7213,40,22,3746,102,3303,7213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
