year,state,disability,total_6to21
2012,ALABAMA,Developmental delay (valid only for children ages 3-9 when defined by state),2804
2012,ALASKA,Developmental delay (valid only for children ages 3-9 when defined by state),1029
2012,AMERICAN SAMOA,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,ARIZONA,Developmental delay (valid only for children ages 3-9 when defined by state),3937
2012,ARKANSAS,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,BUREAU OF INDIAN AFFAIRS,Developmental delay (valid only for children ages 3-9 when defined by state),355
2012,CALIFORNIA,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,COLORADO,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,CONNECTICUT,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,DELAWARE,Developmental delay (valid only for children ages 3-9 when defined by state),719
2012,DISTRICT OF COLUMBIA,Developmental delay (valid only for children ages 3-9 when defined by state),445
2012,FEDERATED STATES OF MICRONESIA,Developmental delay (valid only for children ages 3-9 when defined by state),17
2012,FLORIDA,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,GEORGIA,Developmental delay (valid only for children ages 3-9 when defined by state),11741
2012,GUAM,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,HAWAII,Developmental delay (valid only for children ages 3-9 when defined by state),1066
2012,IDAHO,Developmental delay (valid only for children ages 3-9 when defined by state),1632
2012,ILLINOIS,Developmental delay (valid only for children ages 3-9 when defined by state),13866
2012,INDIANA,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,IOWA,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,KANSAS,Developmental delay (valid only for children ages 3-9 when defined by state),4678
2012,KENTUCKY,Developmental delay (valid only for children ages 3-9 when defined by state),6079
2012,LOUISIANA,Developmental delay (valid only for children ages 3-9 when defined by state),5857
2012,MAINE,Developmental delay (valid only for children ages 3-9 when defined by state),42
2012,MARYLAND,Developmental delay (valid only for children ages 3-9 when defined by state),2231
2012,MASSACHUSETTS,Developmental delay (valid only for children ages 3-9 when defined by state),10963
2012,MICHIGAN,Developmental delay (valid only for children ages 3-9 when defined by state),1685
2012,MINNESOTA,Developmental delay (valid only for children ages 3-9 when defined by state),2582
2012,MISSISSIPPI,Developmental delay (valid only for children ages 3-9 when defined by state),4479
2012,MISSOURI,Developmental delay (valid only for children ages 3-9 when defined by state),758
2012,MONTANA,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,NEBRASKA,Developmental delay (valid only for children ages 3-9 when defined by state),1412
2012,NEVADA,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,NEW HAMPSHIRE,Developmental delay (valid only for children ages 3-9 when defined by state),1525
2012,NEW JERSEY,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,NEW MEXICO,Developmental delay (valid only for children ages 3-9 when defined by state),2644
2012,NEW YORK,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,NORTH CAROLINA,Developmental delay (valid only for children ages 3-9 when defined by state),6269
2012,NORTH DAKOTA,Developmental delay (valid only for children ages 3-9 when defined by state),781
2012,NORTHERN MARIANAS,Developmental delay (valid only for children ages 3-9 when defined by state),43
2012,OHIO,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,OKLAHOMA,Developmental delay (valid only for children ages 3-9 when defined by state),11083
2012,OREGON,Developmental delay (valid only for children ages 3-9 when defined by state),0
2012,PENNSYLVANIA,Developmental delay (valid only for children ages 3-9 when defined by state),129
2012,PUERTO RICO,Developmental delay (valid only for children ages 3-9 when defined by state),0
