year,state,disability,total_6to21,aian,api,black,hisp,white,total_ethnicity
2005,"50 states, D.C. (including BIE schools)",Mental retardation,533426,6709,10887,179564,70170,266096,533426
2005,"50 states, D.C. (including BIE schools)",Hearing impairments,71484,930,3519,11669,15651,39715,71484
2005,"50 states, D.C. (including BIE schools)",Speech or language impairments,1143195,15240,35071,177168,193188,722528,1143195
2005,"50 states, D.C. (including BIE schools)",Visual impairments,25369,357,1015,4481,4326,15190,25369
2005,"50 states, D.C. (including BIE schools)",Emotional disturbance,471306,7172,5393,135730,50686,272325,471306
2005,"50 states, D.C. (including BIE schools)",Orthopedic impairments,62618,591,2168,9482,12609,37768,62618
2005,"50 states, D.C. (including BIE schools)",Other health impairments,557121,6669,8301,95238,52567,394346,557121
2005,"50 states, D.C. (including BIE schools)",Specific learning disabilities,2727802,47695,46530,552541,557994,1523042,2727802
2005,"50 states, D.C. (including BIE schools)",Deaf-blindness,1539,25,69,200,298,947,1539
2005,"50 states, D.C. (including BIE schools)",Multiple disabilities,132595,1753,3485,27874,17155,82328,132595
2005,"50 states, D.C. (including BIE schools)",Autism,192643,1377,10108,28425,21280,131453,192643
2005,"50 states, D.C. (including BIE schools)",Traumatic brain injury,23449,338,580,3994,2998,15539,23449
2005,"50 states, D.C. (including BIE schools)",Developmental delay,78915,2922,2037,17501,7335,49120,78915
2005,"50 states, D.C. (including BIE schools)",All disabilities,6021462,91778,129163,1243867,1006257,3550397,6021462
2005,Alabama,Mental retardation,9448,37,21,5324,89,3977,9448
2005,Alabama,Hearing impairments,950,NA,NA,405,22,511,950
2005,Alabama,Speech or language impairments,16949,90,103,6068,224,10464,16949
2005,Alabama,Visual impairments,445,NA,0,168,NA,263,445
2005,Alabama,Emotional disturbance,2193,NA,NA,868,17,1294,2193
2005,Alabama,Orthopedic impairments,585,NA,NA,165,11,403,585
2005,Alabama,Other health impairments,6283,37,18,1911,64,4253,6283
2005,Alabama,Specific learning disabilities,41696,296,113,19480,786,21021,41696
2005,Alabama,Deaf-blindness,6,0,0,0,0,6,6
2005,Alabama,Multiple disabilities,1383,11,8,582,24,758,1383
2005,Alabama,Autism,1874,12,20,679,26,1137,1874
2005,Alabama,Traumatic brain injury,274,NA,0,91,NA,174,274
2005,Alabama,Developmental delay,2331,11,18,952,46,1304,2331
2005,Alabama,All disabilities,84417,529,310,36693,1320,45565,84417
2005,Alaska,Mental retardation,742,287,52,41,32,330,742
2005,Alaska,Hearing impairments,169,46,19,5,8,91,169
2005,Alaska,Speech or language impairments,3499,1207,176,175,137,1804,3499
2005,Alaska,Visual impairments,40,NA,NA,NA,NA,23,40
2005,Alaska,Emotional disturbance,745,225,20,69,21,410,745
2005,Alaska,Orthopedic impairments,69,18,NA,NA,NA,43,69
2005,Alaska,Other health impairments,967,351,29,30,24,533,967
2005,Alaska,Specific learning disabilities,7872,2770,298,462,319,4023,7872
2005,Alaska,Deaf-blindness,11,NA,NA,0,0,7,11
2005,Alaska,Multiple disabilities,406,151,14,16,6,219,406
2005,Alaska,Autism,390,48,21,23,20,278,390
2005,Alaska,Traumatic brain injury,63,17,NA,NA,NA,36,63
2005,Alaska,Developmental delay,942,340,49,56,54,443,942
2005,Alaska,All disabilities,15915,5476,685,884,630,8240,15915
2005,American Samoa,Mental retardation,24,0,NA,NA,0,NA,24
2005,American Samoa,Hearing impairments,13,0,13,0,0,0,13
2005,American Samoa,Speech or language impairments,19,NA,NA,0,0,0,19
2005,American Samoa,Visual impairments,NA,0,NA,0,0,NA,NA
2005,American Samoa,Emotional disturbance,0,0,0,NA,0,0,0
2005,American Samoa,Orthopedic impairments,NA,0,NA,0,NA,NA,NA
2005,American Samoa,Other health impairments,NA,NA,NA,0,0,0,NA
2005,American Samoa,Specific learning disabilities,1028,0,NA,0,0,NA,1028
