year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5
2006,"50 states, D.C. (including BIE schools)",Mental retardation,511041,6530,10758,167357,71956,254440,511041
2006,"50 states, D.C. (including BIE schools)",Hearing impairments,71589,899,3563,11631,16256,39240,71589
2006,"50 states, D.C. (including BIE schools)",Speech or language impairments,1144277,15486,36042,176663,200632,715454,1144277
2006,"50 states, D.C. (including BIE schools)",Visual impairments,25661,350,1085,4409,4630,15187,25661
2006,"50 states, D.C. (including BIE schools)",Emotional disturbance,457731,7159,5128,131773,50756,262917,457733
2006,"50 states, D.C. (including BIE schools)",Orthopedic impairments,61329,592,2160,9092,12842,36643,61329
2006,"50 states, D.C. (including BIE schools)",Other health impairments,595073,7426,8862,103456,58631,416698,595073
2006,"50 states, D.C. (including BIE schools)",Specific learning disabilities,2654668,46093,45065,544761,563382,1455378,2654679
2006,"50 states, D.C. (including BIE schools)",Deaf-blindness,1413,27,58,196,263,869,1413
2006,"50 states, D.C. (including BIE schools)",Multiple disabilities,132846,1807,3593,27778,17576,82092,132846
2006,"50 states, D.C. (including BIE schools)",Autism,223395,1649,11953,32085,25834,151874,223395
2006,"50 states, D.C. (including BIE schools)",Traumatic brain injury,23867,386,603,3936,3149,15793,23867
2006,"50 states, D.C. (including BIE schools)",Developmental delay,83754,3088,2229,18785,8230,51422,83754
2006,"50 states, D.C. (including BIE schools)",All disabilities,5986644,91492,131099,1231922,1034137,3498007,5986657
2006,Alabama,Mental retardation,8144,37,23,4424,102,3558,8144
2006,Alabama,Hearing impairments,948,9,7,395,35,502,948
2006,Alabama,Speech or language impairments,16144,87,101,5550,273,10133,16144
2006,Alabama,Visual impairments,454,9,NA,161,NA,276,454
2006,Alabama,Emotional disturbance,1860,NA,NA,705,16,1129,1860
2006,Alabama,Orthopedic impairments,620,NA,NA,184,12,417,620
2006,Alabama,Other health impairments,6129,41,11,1894,64,4119,6129
2006,Alabama,Specific learning disabilities,40509,282,110,19196,872,20049,40509
2006,Alabama,Deaf-blindness,NA,0,0,0,0,NA,NA
2006,Alabama,Multiple disabilities,1386,9,17,564,29,767,1386
2006,Alabama,Autism,2178,17,20,747,27,1367,2178
2006,Alabama,Traumatic brain injury,NA,NA,0,90,NA,NA,NA
2006,Alabama,Developmental delay,2349,11,22,989,50,1277,2349
2006,Alabama,All disabilities,80987,517,319,34899,1490,43762,80987
2006,Alaska,Mental retardation,705,272,53,40,32,308,705
2006,Alaska,Hearing impairments,160,40,17,NA,NA,90,160
2006,Alaska,Speech or language impairments,2938,1139,162,100,103,1434,2938
2006,Alaska,Visual impairments,35,8,NA,NA,NA,NA,35
2006,Alaska,Emotional disturbance,726,218,14,76,22,396,726
2006,Alaska,Orthopedic impairments,72,19,NA,NA,NA,44,72
2006,Alaska,Other health impairments,1652,473,58,109,63,949,1652
2006,Alaska,Specific learning disabilities,7545,2640,281,471,342,3811,7545
2006,Alaska,Deaf-blindness,10,5,NA,0,0,NA,10
2006,Alaska,Multiple disabilities,395,153,14,18,7,203,395
2006,Alaska,Autism,454,62,25,18,26,323,454
2006,Alaska,Traumatic brain injury,68,19,NA,NA,NA,39,68
