year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2008,"50 states, D.C., and P.R. (including BIE schools)",Mental retardation,475713,5726,10175,139772,78054,221942,455669,5333,632,510,4259,39,7199,232,18204
2008,"50 states, D.C., and P.R. (including BIE schools)",Hearing impairments,70682,808,3587,10771,17035,35636,67837,547,84,173,307,15,1521,23,2670
2008,"50 states, D.C., and P.R. (including BIE schools)",Speech or language impairments,1121496,13327,33693,161993,215702,624018,1048733,12046,2179,3477,7517,163,43304,841,69527
2008,"50 states, D.C., and P.R. (including BIE schools)",Visual impairments,25790,312,996,4179,5198,14129,24814,141,28,47,100,1,571,9,897
2008,"50 states, D.C., and P.R. (including BIE schools)",Emotional disturbance,417872,6343,4595,113972,46373,220605,391888,4247,636,305,5123,53,13314,461,24139
2008,"50 states, D.C., and P.R. (including BIE schools)",Orthopedic impairments,62332,579,2139,7999,13473,32821,57011,1262,36,72,1875,6,1898,42,5191
2008,"50 states, D.C., and P.R. (including BIE schools)",Other health impairments,648112,7398,9414,110304,70916,405252,603284,5196,911,828,5161,80,29225,477,41878
2008,"50 states, D.C., and P.R. (including BIE schools)",Specific learning disabilities,2522735,37196,41231,486125,589596,1206574,2360722,27944,6248,2905,23601,283,92421,1817,155219
2008,"50 states, D.C., and P.R. (including BIE schools)",Deaf-blindness,1735,28,44,140,258,666,1136,144,6,20,166,1,249,4,590
2008,"50 states, D.C., and P.R. (including BIE schools)",Multiple disabilities,123924,1346,2753,17840,13285,61236,96460,4625,351,764,6691,38,14382,177,27028
2008,"50 states, D.C., and P.R. (including BIE schools)",Autism,292638,2186,15044,38729,37357,180659,273975,1836,154,1122,1726,55,12550,226,17669
2008,"50 states, D.C., and P.R. (including BIE schools)",Traumatic brain injury,24857,318,438,3185,2674,10000,16615,942,61,176,1185,10,5688,108,8170
2008,"50 states, D.C., and P.R. (including BIE schools)",Developmental delay,96853,3059,2332,21131,8471,49680,84673,1870,594,325,929,37,7546,349,11650
2008,"50 states, D.C., and P.R. (including BIE schools)",All disabilities,5884739,78628,126444,1116136,1098392,3063225,5482825,66133,11920,10724,58640,781,229868,4766,382832
2008,Alabama,Mental retardation,6667,38,23,3387,102,3117,6667,NA,NA,NA,NA,NA,NA,NA,NA
