year,state,Ethnicity,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2009,Alabama,5,Mental retardation,6402,39,NA,3221,114,2998,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Hearing impairments,922,8,14,366,42,492,922,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Speech or language impairments,13693,91,96,4379,333,8794,13693,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Visual impairments,460,NA,NA,159,NA,281,460,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Emotional disturbance,1537,5,NA,592,18,921,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Orthopedic impairments,615,NA,NA,201,15,390,615,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Other health impairments,6865,54,33,2141,97,4540,6865,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Specific learning disabilities,37393,234,NA,17540,1056,18450,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Deaf-blindness,7,0,0,0,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Multiple disabilities,1348,7,9,547,33,752,1348,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Autism,3451,25,41,1065,67,2253,3451,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Traumatic brain injury,245,NA,NA,93,NA,142,245,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,Developmental delay,2801,18,19,1118,129,1517,2801,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alabama,5,All disabilities,75739,496,367,31422,1917,41537,75739,NA,NA,NA,NA,NA,NA,NA,NA
2009,Alaska,7,Mental retardation,629,NA,NA,NA,NA,NA,NA,37,204,29,38,17,NA,44,NA
2009,Alaska,7,Hearing impairments,150,NA,NA,NA,NA,NA,NA,12,41,12,NA,7,70,NA,150
2009,Alaska,7,Speech or language impairments,2637,NA,NA,NA,NA,NA,NA,142,811,101,90,48,1294,151,2637
2009,Alaska,7,Visual impairments,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,41
2009,Alaska,7,Emotional disturbance,725,NA,NA,NA,NA,NA,NA,33,165,9,53,6,380,79,725
2009,Alaska,7,Orthopedic impairments,67,NA,NA,NA,NA,NA,NA,6,14,NA,NA,NA,36,NA,67
2009,Alaska,7,Other health impairments,2015,NA,NA,NA,NA,NA,NA,111,518,41,123,21,1078,123,2015
2009,Alaska,7,Specific learning disabilities,7488,NA,NA,NA,NA,NA,NA,500,2382,223,363,NA,3362,504,NA
2009,Alaska,7,Deaf-blindness,8,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,5,0,NA
2009,Alaska,7,Multiple disabilities,398,NA,NA,NA,NA,NA,NA,21,147,17,17,6,165,25,398
2009,Alaska,7,Autism,648,NA,NA,NA,NA,NA,NA,46,75,27,NA,NA,433,47,648
2009,Alaska,7,Traumatic brain injury,46,NA,NA,NA,NA,NA,NA,NA,10,0,6,0,24,NA,NA
2009,Alaska,7,Developmental delay,1054,NA,NA,NA,NA,NA,NA,73,292,49,51,17,474,98,1054
2009,Alaska,7,All disabilities,15906,NA,NA,NA,NA,NA,NA,985,4669,513,767,NA,NA,1084,15906
2009,American Samoa,7,Mental retardation,5,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA
2009,American Samoa,7,Hearing impairments,11,NA,NA,NA,NA,NA,NA,0,0,0,0,11,0,0,11
2009,American Samoa,7,Speech or language impairments,25,NA,NA,NA,NA,NA,NA,0,0,0,0,25,0,0,25
2009,American Samoa,7,Visual impairments,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA
2009,American Samoa,7,Emotional disturbance,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2009,American Samoa,7,Orthopedic impairments,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2009,American Samoa,7,Other health impairments,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2009,American Samoa,7,Specific learning disabilities,851,NA,NA,NA,NA,NA,NA,0,0,0,0,851,0,0,851
2009,American Samoa,7,Deaf-blindness,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA
2009,American Samoa,7,Multiple disabilities,30,NA,NA,NA,NA,NA,NA,0,0,0,0,30,0,0,30
2009,American Samoa,7,Autism,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA
2009,American Samoa,7,Traumatic brain injury,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2009,American Samoa,7,Developmental delay,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2009,American Samoa,7,All disabilities,929,NA,NA,NA,NA,NA,NA,0,0,0,0,929,0,0,929
2009,Arizona,5,Mental retardation,7888,629,158,704,3585,2812,7888,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Hearing impairments,1642,122,59,80,741,640,1642,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Speech or language impairments,20803,1213,498,1081,8304,9707,20803,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Visual impairments,555,55,18,28,183,271,555,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Emotional disturbance,8074,449,72,999,1843,4711,8074,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Orthopedic impairments,797,27,14,38,295,423,797,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Other health impairments,7889,342,104,618,1918,4907,7889,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Specific learning disabilities,55287,4943,550,3974,25223,20597,55287,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Deaf-blindness,99,NA,NA,NA,33,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Arizona,5,Multiple disabilities,1886,176,43,122,723,822,1886,NA,NA,NA,NA,NA,NA,NA,NA
