year,state,disability,total_6to21,hisp,aian,asian7,black,nhpi7,white,tworace,total_ethnicity,api
2010,"50 states, D.C., and P.R. (including BIE schools)",Mental retardation,445432,88010,6097,9396,125429,1168,207689,7643,445432,10564
2010,"50 states, D.C., and P.R. (including BIE schools)",Hearing impairments,69839,18754,863,3494,10468,348,34681,1231,69839,3842
2010,"50 states, D.C., and P.R. (including BIE schools)",Speech or language impairments,1093293,250126,14619,34811,156365,2127,612219,23026,1093293,36938
2010,"50 states, D.C., and P.R. (including BIE schools)",Visual impairments,25686,5733,336,984,4038,80,14042,473,25686,1064
2010,"50 states, D.C., and P.R. (including BIE schools)",Emotional disturbance,388023,53345,6230,3392,105878,1077,208081,10020,388023,4469
2010,"50 states, D.C., and P.R. (including BIE schools)",Orthopedic impairments,55787,13978,533,1956,6976,154,31102,1088,55787,2110
2010,"50 states, D.C., and P.R. (including BIE schools)",Other health impairments,705764,98463,8988,8993,125681,2232,445695,15712,705764,11225
2010,"50 states, D.C., and P.R. (including BIE schools)",Specific learning disabilities,2417208,644271,41951,34597,477003,8051,1167387,43948,2417208,42648
2010,"50 states, D.C., and P.R. (including BIE schools)",Deaf-blindness,1282,298,21,54,134,8,743,24,1282,62
2010,"50 states, D.C., and P.R. (including BIE schools)",Multiple disabilities,123576,19702,1640,3262,24230,374,72492,1876,123576,3636
2010,"50 states, D.C., and P.R. (including BIE schools)",Autism,370344,58152,2975,18957,49660,1000,231193,8407,370344,19957
2010,"50 states, D.C., and P.R. (including BIE schools)",Traumatic brain injury,24664,3893,366,568,3860,71,15381,525,24664,639
2010,"50 states, D.C., and P.R. (including BIE schools)",Developmental delay,109293,14661,3888,2308,23030,732,61430,3244,109293,3040
2010,"50 states, D.C., and P.R. (including BIE schools)",All disabilities,5830191,1269386,88507,122772,1112752,17422,3102135,117217,5830191,140194
2010,U.S. and Outlying Areas,Mental retardation,445796,88050,6097,9419,125593,1288,207692,7657,445796,10707
2010,U.S. and Outlying Areas,Hearing impairments,69934,18755,863,3509,10480,412,34682,1233,69934,3921
2010,U.S. and Outlying Areas,Speech or language impairments,1093695,250140,14620,34876,156462,2333,612229,23035,1093695,37209
2010,U.S. and Outlying Areas,Visual impairments,25724,5735,336,986,4047,103,14043,474,25724,1089
2010,U.S. and Outlying Areas,Emotional disturbance,388211,53362,6230,3399,105915,1197,208085,10023,388211,4596
2010,U.S. and Outlying Areas,Orthopedic impairments,55824,13978,533,1965,6978,177,31103,1090,55824,2142
2010,U.S. and Outlying Areas,Other health impairments,706102,98483,8988,9021,125758,2418,445704,15730,706102,11439
2010,U.S. and Outlying Areas,Specific learning disabilities,2419971,644430,41953,34758,477459,9926,1167407,44038,2419971,44684
2010,U.S. and Outlying Areas,Deaf-blindness,1286,298,21,54,134,11,743,25,1286,65
2010,U.S. and Outlying Areas,Multiple disabilities,123751,19705,1640,3281,24259,483,72499,1884,123751,3764
2010,U.S. and Outlying Areas,Autism,370581,58161,2975,19023,49707,1087,231197,8431,370581,20110
2010,U.S. and Outlying Areas,Traumatic brain injury,24672,3894,366,569,3861,76,15381,525,24672,645
2010,U.S. and Outlying Areas,Developmental delay,109378,14668,3888,2321,23061,750,61432,3258,109378,3071
2010,U.S. and Outlying Areas,All disabilities,5834925,1269659,88510,123181,1113714,20261,3102197,117403,5834925,143442
2010,Alabama,Mental retardation,6121,118,34,27,3061,0,2873,NA,NA,27
2010,Alabama,Hearing impairments,918,49,8,13,351,0,497,0,918,13
2010,Alabama,Speech or language impairments,13229,392,77,97,4027,0,8590,46,13229,97
2010,Alabama,Visual impairments,455,NA,6,NA,149,0,281,NA,455,0
2010,Alabama,Emotional disturbance,1425,13,6,NA,542,0,854,7,NA,0
2010,Alabama,Orthopedic impairments,599,16,NA,5,200,0,372,NA,599,5
2010,Alabama,Other health impairments,7757,120,56,32,2570,0,4957,22,7757,32
2010,Alabama,Specific learning disabilities,35987,1143,225,99,16718,NA,17729,70,NA,99
2010,Alabama,Deaf-blindness,9,0,0,0,NA,0,NA,0,9,0
2010,Alabama,Multiple disabilities,1310,43,5,10,516,NA,734,NA,1310,10
2010,Alabama,Autism,3985,80,23,47,1177,NA,2648,NA,3985,47
2010,Alabama,Traumatic brain injury,244,NA,NA,NA,NA,0,NA,NA,244,0
2010,Alabama,Developmental delay,2755,142,16,19,1079,0,1486,13,2755,19
2010,Alabama,All disabilities,74794,2129,462,359,30486,5,41169,184,74794,364
2010,Alaska,Mental retardation,618,39,203,26,39,15,251,45,618,41
2010,Alaska,Hearing impairments,150,9,47,17,NA,6,66,NA,150,23
2010,Alaska,Speech or language impairments,2557,146,742,98,78,44,1248,201,2557,142
2010,Alaska,Visual impairments,40,NA,NA,NA,NA,0,24,NA,40,0
2010,Alaska,Emotional disturbance,723,37,171,10,52,6,370,77,723,16
2010,Alaska,Orthopedic impairments,68,NA,13,NA,NA,NA,41,NA,68,NA
2010,Alaska,Other health impairments,2122,114,518,36,114,22,1153,165,2122,58
2010,Alaska,Specific learning disabilities,7445,513,2346,228,376,NA,3240,578,NA,228
2010,Alaska,Deaf-blindness,8,0,NA,0,0,NA,5,0,NA,0
2010,Alaska,Multiple disabilities,394,18,150,14,13,6,164,29,394,20
2010,Alaska,Autism,737,54,82,35,NA,NA,491,49,737,35
2010,Alaska,Traumatic brain injury,43,NA,10,0,6,0,22,NA,43,0
2010,Alaska,Developmental delay,1039,69,291,45,39,12,475,108,1039,57
2010,Alaska,All disabilities,15944,1004,4584,515,743,282,7550,1266,15944,797
2010,American Samoa,Mental retardation,17,NA,0,0,0,17,NA,0,17,17
2010,American Samoa,Hearing impairments,12,NA,0,0,0,NA,NA,NA,NA,0
2010,American Samoa,Speech or language impairments,52,0,NA,0,0,NA,0,0,52,0
2010,American Samoa,Visual impairments,6,NA,0,0,0,NA,NA,NA,NA,0
2010,American Samoa,Emotional disturbance,0,NA,NA,0,0,0,0,0,0,0
2010,American Samoa,Orthopedic impairments,0,0,0,0,NA,0,NA,0,0,0
2010,American Samoa,Other health impairments,NA,0,0,0,0,NA,0,0,NA,0
2010,American Samoa,Specific learning disabilities,654,0,NA,NA,0,NA,0,0,NA,NA
2010,American Samoa,Deaf-blindness,NA,0,0,0,0,NA,0,NA,NA,0
2010,American Samoa,Multiple disabilities,47,NA,0,NA,0,NA,0,0,47,NA
