year,state,disability,total_6to21,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2011,"50 states, D.C., and P.R. (including BIE schools)",Intellectual disabilities,430819,89107,5577,9531,118656,1211,198459,8278,430819
2011,"50 states, D.C., and P.R. (including BIE schools)",Hearing impairments,69220,19055,753,3647,10298,359,33723,1385,69220
2011,"50 states, D.C., and P.R. (including BIE schools)",Speech or language impairments,1071200,258071,12890,34421,151978,2086,586036,25718,1071200
2011,"50 states, D.C., and P.R. (including BIE schools)",Visual impairments,25673,5854,315,998,4059,85,13832,530,25673
2011,"50 states, D.C., and P.R. (including BIE schools)",Emotional disturbance,371425,52674,5356,3180,99817,971,198032,11395,371425
2011,"50 states, D.C., and P.R. (including BIE schools)",Orthopedic impairments,54382,13842,491,1979,6633,156,30008,1273,54382
2011,"50 states, D.C., and P.R. (including BIE schools)",Other health impairments,733960,109380,8606,9522,131652,1972,453725,19103,733960
2011,"50 states, D.C., and P.R. (including BIE schools)",Specific learning disabilities,2354790,650353,36952,34027,463474,8045,1112960,48979,2354790
2011,"50 states, D.C., and P.R. (including BIE schools)",Deaf-blindness,1374,344,22,59,132,15,777,25,1374
2011,"50 states, D.C., and P.R. (including BIE schools)",Multiple disabilities,124957,20629,1870,3368,23621,415,72530,2524,124957
2011,"50 states, D.C., and P.R. (including BIE schools)",Autism,406957,67821,3113,21007,54560,963,248917,10576,406957
2011,"50 states, D.C., and P.R. (including BIE schools)",Traumatic brain injury,24878,4041,318,589,3877,74,15363,616,24878
2011,"50 states, D.C., and P.R. (including BIE schools)",Developmental delay,115568,17040,3730,2399,24917,705,62854,3923,115568
2011,"50 states, D.C., and P.R. (including BIE schools)",All disabilities,5785203,1308211,79993,124727,1093674,17057,3027216,134325,5785203
2011,U.S. and Outlying Areas,Intellectual disabilities,431152,89137,5578,9555,118799,1333,198462,8288,431152
2011,U.S. and Outlying Areas,Hearing impairments,69312,19056,753,3663,10310,421,33723,1386,69312
2011,U.S. and Outlying Areas,Speech or language impairments,1071555,258081,12891,34479,152064,2271,586043,25726,1071555
2011,U.S. and Outlying Areas,Visual impairments,25704,5855,315,999,4067,104,13833,531,25704
2011,U.S. and Outlying Areas,Emotional disturbance,371600,52686,5356,3185,99857,1085,198034,11397,371600
2011,U.S. and Outlying Areas,Orthopedic impairments,54410,13842,491,1986,6635,174,30008,1274,54410
2011,U.S. and Outlying Areas,Other health impairments,734348,109411,8606,9558,131735,2180,453739,19119,734348
2011,U.S. and Outlying Areas,Specific learning disabilities,2357533,650508,36958,34180,463932,9894,1112979,49082,2357533
2011,U.S. and Outlying Areas,Deaf-blindness,1378,344,22,59,132,18,777,26,1378
2011,U.S. and Outlying Areas,Multiple disabilities,125150,20632,1870,3393,23651,536,72535,2533,125150
2011,U.S. and Outlying Areas,Autism,407214,67830,3113,21084,54614,1053,248920,10600,407214
2011,U.S. and Outlying Areas,Traumatic brain injury,24886,4042,318,590,3878,79,15363,616,24886
2011,U.S. and Outlying Areas,Developmental delay,115642,17046,3730,2415,24944,724,62854,3929,115642
2011,U.S. and Outlying Areas,All disabilities,5789884,1308470,80001,125146,1094618,19872,3027270,134507,5789884
2011,Alabama,Intellectual disabilities,5891,121,34,23,2968,NA,2727,17,NA
2011,Alabama,Hearing impairments,897,44,10,12,330,0,492,9,897
2011,Alabama,Speech or language impairments,13109,380,NA,115,3921,NA,8499,102,13109
2011,Alabama,Visual impairments,448,16,NA,NA,145,0,274,NA,448
2011,Alabama,Emotional disturbance,1347,15,5,NA,497,0,817,12,NA
2011,Alabama,Orthopedic impairments,600,19,5,7,191,0,372,6,600
2011,Alabama,Other health impairments,8072,120,71,NA,2743,NA,5025,69,8072
2011,Alabama,Specific learning disabilities,33618,1077,248,100,15467,8,16571,147,33618
2011,Alabama,Deaf-blindness,10,0,0,0,0,0,NA,0,NA
2011,Alabama,Multiple disabilities,1294,42,6,11,504,0,726,5,1294
2011,Alabama,Autism,4418,85,NA,48,1316,NA,2916,26,4418
2011,Alabama,Traumatic brain injury,244,5,NA,NA,96,NA,NA,NA,244
2011,Alabama,Developmental delay,2846,134,20,18,1119,0,1522,33,2846
2011,Alabama,All disabilities,72794,2058,519,383,29297,17,40088,432,72794
2011,Alaska,Intellectual disabilities,614,42,206,29,37,20,239,41,614
2011,Alaska,Hearing impairments,145,9,45,19,NA,7,57,NA,145
2011,Alaska,Speech or language impairments,2447,147,685,91,69,40,1193,222,2447
2011,Alaska,Visual impairments,37,NA,NA,NA,NA,0,NA,NA,NA
2011,Alaska,Emotional disturbance,669,29,154,8,59,NA,339,73,NA
2011,Alaska,Orthopedic impairments,65,NA,13,NA,NA,NA,36,NA,65
2011,Alaska,Other health impairments,2220,135,561,33,113,22,1167,189,2220
2011,Alaska,Specific learning disabilities,7407,530,2392,226,370,NA,3093,601,NA
2011,Alaska,Deaf-blindness,5,0,NA,0,0,NA,NA,0,5
2011,Alaska,Multiple disabilities,399,22,153,14,17,7,159,27,399
2011,Alaska,Autism,836,67,98,44,24,7,534,62,836
