year,state,disability,total_6to21,el_yes,el_no,aian7,asian7,black7,hisp7,nhpi7,tworace7,white7
2012,ALABAMA,All Disabilities,72361,0,70785,513,376,28811,2358,25,650,39628
2012,ALABAMA,Autism,4915,NA,NA,30,50,1455,119,4,50,3207
2012,ALABAMA,Deaf-blindness,9,NA,NA,0,0,1,0,0,0,8
2012,ALABAMA,Developmental delay (valid only for children ages 3-9 when defined by state),2804,NA,NA,11,23,1158,142,1,50,1419
2012,ALABAMA,Emotional disturbance,1322,NA,NA,3,0,484,14,0,22,799
2012,ALABAMA,Hearing impairment,869,NA,NA,7,15,309,48,0,8,482
2012,ALABAMA,Intellectual disability,5942,NA,NA,37,28,3019,143,1,25,2689
2012,ALABAMA,Multiple disabilities,1272,NA,NA,6,9,494,48,0,7,708
2012,ALABAMA,Orthopedic impairment,582,NA,NA,5,6,178,20,0,7,366
2012,ALABAMA,Other health impairment,8763,NA,NA,69,38,3087,151,3,105,5310
2012,ALABAMA,Specific learning disability,32112,NA,NA,244,100,14517,1183,11,210,15847
2012,ALABAMA,Speech or language impairment,13084,NA,NA,93,97,3870,472,4,156,8392
2012,ALABAMA,Traumatic brain injury,220,NA,NA,3,2,92,3,1,1,118
2012,ALABAMA,Visual impairment,467,NA,NA,5,8,147,15,0,9,283
2012,ALASKA,All Disabilities,15843,2372,13471,4595,542,740,1095,334,1442,7095
2012,ALASKA,Autism,925,NA,NA,115,54,30,72,8,72,574
2012,ALASKA,Deaf-blindness,5,NA,NA,2,0,0,0,1,0,2
2012,ALASKA,Developmental delay (valid only for children ages 3-9 when defined by state),1029,NA,NA,288,36,39,79,23,107,457
2012,ALASKA,Emotional disturbance,671,NA,NA,151,9,48,26,8,82,347
2012,ALASKA,Hearing impairment,161,NA,NA,44,24,3,11,9,11,59
2012,ALASKA,Intellectual disability,579,NA,NA,201,27,32,38,17,44,220
2012,ALASKA,Multiple disabilities,409,NA,NA,157,15,13,16,7,29,172
2012,ALASKA,Orthopedic impairment,66,NA,NA,12,7,2,4,2,5,34
2012,ALASKA,Other health impairment,2381,NA,NA,579,32,116,164,20,226,1244
2012,ALASKA,Specific learning disability,7182,NA,NA,2338,231,383,537,192,647,2854
2012,ALASKA,Speech or language impairment,2360,NA,NA,692,105,68,146,47,211,1091
2012,ALASKA,Traumatic brain injury,39,NA,NA,10,0,5,0,0,4,20
2012,ALASKA,Visual impairment,36,NA,NA,6,2,1,2,0,4,21
2012,AMERICAN SAMOA,All Disabilities,768,767,1,0,NA,0,0,765,0,NA
2012,AMERICAN SAMOA,Autism,8,NA,NA,0,NA,0,0,6,0,NA
2012,AMERICAN SAMOA,Deaf-blindness,3,NA,NA,0,NA,0,0,3,0,NA
2012,AMERICAN SAMOA,Developmental delay (valid only for children ages 3-9 when defined by state),0,NA,NA,0,NA,0,0,0,0,NA
2012,AMERICAN SAMOA,Emotional disturbance,0,NA,NA,0,NA,0,0,0,0,NA
2012,AMERICAN SAMOA,Hearing impairment,5,NA,NA,0,NA,0,0,5,0,NA
2012,AMERICAN SAMOA,Intellectual disability,12,NA,NA,0,NA,0,0,12,0,NA
2012,AMERICAN SAMOA,Multiple disabilities,47,NA,NA,0,NA,0,0,47,0,NA
2012,AMERICAN SAMOA,Orthopedic impairment,0,NA,NA,0,NA,0,0,0,0,NA
2012,AMERICAN SAMOA,Other health impairment,2,NA,NA,0,NA,0,0,2,0,NA
2012,AMERICAN SAMOA,Specific learning disability,636,NA,NA,0,NA,0,0,635,0,NA
2012,AMERICAN SAMOA,Speech or language impairment,51,NA,NA,0,NA,0,0,51,0,NA
2012,AMERICAN SAMOA,Traumatic brain injury,0,NA,NA,0,NA,0,0,0,0,NA
2012,AMERICAN SAMOA,Visual impairment,4,NA,NA,0,NA,0,0,4,0,NA
2012,ARIZONA,All Disabilities,112895,7967,104928,7400,1523,7490,47871,213,1908,46490
2012,ARIZONA,Autism,8639,NA,NA,272,269,522,2497,18,180,4881
2012,ARIZONA,Deaf-blindness,130,NA,NA,9,2,6,58,0,1,54
2012,ARIZONA,Developmental delay (valid only for children ages 3-9 when defined by state),3937,NA,NA,288,53,242,1981,6,85,1282
2012,ARIZONA,Emotional disturbance,7687,NA,NA,394,43,903,2037,11,184,4115
2012,ARIZONA,Hearing impairment,1461,NA,NA,79,54,74,690,4,13,547
2012,ARIZONA,Intellectual disability,7223,NA,NA,540,152,620,3305,24,90,2492
2012,ARIZONA,Multiple disabilities,2151,NA,NA,187,47,125,897,6,28,861
