year,state,disability,total_6to21,el_yes,el_no,aian,black,hisp,tworace,white,api,total_ethnicity
2014,Alabama,All Disabilities,75204,1930,73274,538,28815,3244,1210,40939,458,75204
2014,Alabama,Autism,5840,85,5755,34,1720,172,113,3741,60,5840
2014,Alabama,Deaf-blindness,11,0,11,0,2,0,0,9,0,11
2014,Alabama,Developmental delay,3012,136,2876,13,1196,172,80,1521,30,3012
2014,Alabama,Emotional disturbance,1308,8,1300,6,531,28,19,724,0,1308
2014,Alabama,Hearing impairment,908,43,865,5,313,64,11,500,15,908
2014,Alabama,Intellectual disability,6217,168,6049,33,3156,210,58,2726,34,6217
2014,Alabama,Multiple disabilities,1271,25,1246,4,495,59,12,688,13,1271
2014,Alabama,Orthopedic impairment,565,15,550,4,166,28,11,345,11,565
2014,Alabama,Other health impairment,10163,102,10061,78,3625,247,191,5979,43,10163
2014,Alabama,Specific learning disability,31860,948,30912,260,13566,1574,400,15933,127,31860
2014,Alabama,Speech or language impairment,13315,387,12928,91,3810,662,303,8338,111,13315
2014,Alabama,Traumatic brain injury,246,6,240,4,89,11,4,136,2,246
2014,Alabama,Visual impairment,488,7,481,6,146,17,8,299,12,488
2014,Alaska,All Disabilities,15989,2468,13521,4698,653,1137,1657,6912,932,15989
2014,Alaska,Autism,1089,77,1012,132,30,75,109,663,80,1089
2014,Alaska,Deaf-blindness,4,0,4,2,0,0,0,1,1,4
2014,Alaska,Developmental delay,1130,161,969,340,41,81,131,470,67,1130
2014,Alaska,Emotional disturbance,662,53,609,176,31,40,75,320,20,662
2014,Alaska,Hearing impairment,159,23,136,39,6,13,9,59,33,159
2014,Alaska,Intellectual disability,613,127,486,232,28,44,57,203,49,613
2014,Alaska,Multiple disabilities,446,51,395,161,13,23,44,178,27,446
2014,Alaska,Orthopedic impairment,61,7,54,12,4,1,5,31,8,61
2014,Alaska,Other health impairment,2499,159,2340,622,121,160,280,1256,60,2499
2014,Alaska,Specific learning disability,7019,1474,5545,2315,331,551,688,2687,447,7019
2014,Alaska,Speech or language impairment,2218,333,1885,646,42,144,252,997,137,2218
2014,Alaska,Traumatic brain injury,49,2,47,14,4,2,4,23,2,49
2014,Alaska,Visual impairment,40,1,39,7,2,3,3,24,1,40
2014,American Samoa,All Disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Autism,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Deaf-blindness,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Emotional disturbance,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Hearing impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Intellectual disability,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Orthopedic impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Other health impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Specific learning disability,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Speech or language impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Traumatic brain injury,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,American Samoa,Visual impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,Arizona,All Disabilities,116428,8453,107975,7458,7730,51108,2605,45733,1794,116428
2014,Arizona,Autism,10053,215,9838,339,589,3157,313,5327,328,10053
2014,Arizona,Deaf-blindness,124,0,124,10,4,60,2,48,0,124
2014,Arizona,Developmental delay,5129,961,4168,355,323,2603,137,1628,83,5129
2014,Arizona,Emotional disturbance,7563,154,7409,362,896,2111,242,3908,44,7563
2014,Arizona,Hearing impairment,1391,54,1337,83,60,691,26,475,56,1391
2014,Arizona,Intellectual disability,7031,235,6796,527,597,3367,110,2260,170,7031
2014,Arizona,Multiple disabilities,2189,44,2145,188,118,935,47,845,56,2189
2014,Arizona,Orthopedic impairment,618,34,584,21,25,230,6,321,15,618
2014,Arizona,Other health impairment,10439,357,10082,420,784,3145,269,5694,127,10439
2014,Arizona,Specific learning disability,53163,4331,48832,4166,3601,26628,992,17241,535,53163
2014,Arizona,Speech or language impairment,17851,2031,15820,892,680,7856,449,7620,354,17851
2014,Arizona,Traumatic brain injury,340,13,327,47,23,121,4,142,3,340
2014,Arizona,Visual impairment,537,24,513,48,30,204,8,224,23,537
2014,Arkansas,All Disabilities,53740,3725,50015,417,12835,5224,1050,33579,635,53740
2014,Arkansas,Autism,3778,216,3562,28,543,302,94,2730,81,3778
2014,Arkansas,Deaf-blindness,4,0,4,0,1,0,1,2,0,4
2014,Arkansas,Developmental delay,0,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,Arkansas,Emotional disturbance,792,19,773,8,143,51,21,563,6,792
2014,Arkansas,Hearing impairment,433,51,382,3,70,74,2,258,26,433
2014,Arkansas,Intellectual disability,5717,394,5323,39,2024,543,87,2962,62,5717
2014,Arkansas,Multiple disabilities,1343,65,1278,10,292,128,22,872,19,1343
