year,state,disability,total_6to21,aian,api,black,hisp,white,total_ethnicity,tworace,el_yes,el_no
2005,Alabama,ID,9448,37,21,5324,89,3977,9448,NA,NA,NA
2005,Alabama,HI,950,NA,NA,405,22,511,950,NA,NA,NA
2005,Alabama,SLI,16949,90,103,6068,224,10464,16949,NA,NA,NA
2005,Alabama,VI,445,NA,0,168,NA,263,445,NA,NA,NA
2005,Alabama,ED,2193,NA,NA,868,17,1294,2193,NA,NA,NA
2005,Alabama,OI,585,NA,NA,165,11,403,585,NA,NA,NA
2005,Alabama,OHI,6283,37,18,1911,64,4253,6283,NA,NA,NA
2005,Alabama,SLD,41696,296,113,19480,786,21021,41696,NA,NA,NA
2005,Alabama,DB,6,0,0,0,0,6,6,NA,NA,NA
2005,Alabama,MI,1383,11,8,582,24,758,1383,NA,NA,NA
2005,Alabama,Aut,1874,12,20,679,26,1137,1874,NA,NA,NA
2005,Alabama,TBI,274,NA,0,91,NA,174,274,NA,NA,NA
2005,Alabama,DD,2331,11,18,952,46,1304,2331,NA,NA,NA
2005,Alabama,All disabilities,84417,529,310,36693,1320,45565,84417,NA,NA,NA
2006,Alabama,ID,8144,37,23,4424,102,3558,8144,NA,NA,NA
2006,Alabama,HI,948,9,7,395,35,502,948,NA,NA,NA
2006,Alabama,SLI,16144,87,101,5550,273,10133,16144,NA,NA,NA
2006,Alabama,VI,454,9,NA,161,NA,276,454,NA,NA,NA
2006,Alabama,ED,1860,NA,NA,705,16,1129,1860,NA,NA,NA
2006,Alabama,OI,620,NA,NA,184,12,417,620,NA,NA,NA
2006,Alabama,OHI,6129,41,11,1894,64,4119,6129,NA,NA,NA
2006,Alabama,SLD,40509,282,110,19196,872,20049,40509,NA,NA,NA
2006,Alabama,DB,NA,0,0,0,0,NA,NA,NA,NA,NA
2006,Alabama,MI,1386,9,17,564,29,767,1386,NA,NA,NA
2006,Alabama,Aut,2178,17,20,747,27,1367,2178,NA,NA,NA
2006,Alabama,TBI,NA,NA,0,90,NA,NA,NA,NA,NA,NA
2006,Alabama,DD,2349,11,22,989,50,1277,2349,NA,NA,NA
2006,Alabama,All disabilities,80987,517,319,34899,1490,43762,80987,NA,NA,NA
2007,Alabama,ID,7213,40,22,3746,102,3303,7213,NA,NA,NA
2007,Alabama,HI,915,11,8,367,37,492,915,NA,NA,NA
2007,Alabama,SLI,15401,100,91,5213,290,9707,15401,NA,NA,NA
2007,Alabama,VI,457,NA,NA,162,NA,272,434,NA,NA,NA
2007,Alabama,ED,1667,5,0,605,21,1036,1667,NA,NA,NA
2007,Alabama,OI,597,NA,NA,183,13,393,589,NA,NA,NA
2007,Alabama,OHI,6027,45,18,1829,71,4064,6027,NA,NA,NA
2007,Alabama,SLD,38882,274,120,18416,905,19167,38882,NA,NA,NA
2007,Alabama,DB,5,0,0,NA,0,NA,0,NA,NA,NA
2007,Alabama,MI,1286,6,13,531,26,710,1286,NA,NA,NA
2007,Alabama,Aut,2509,17,22,826,39,1605,2509,NA,NA,NA
2007,Alabama,TBI,237,NA,NA,NA,NA,NA,0,NA,NA,NA
2007,Alabama,DD,2465,12,23,1032,70,1328,2465,NA,NA,NA
2007,Alabama,All disabilities,77661,528,324,32989,1587,42233,77661,NA,NA,NA
2008,Alabama,ID,6667,38,23,3387,102,3117,6667,NA,NA,NA
2008,Alabama,HI,919,8,8,379,38,486,919,NA,NA,NA
2008,Alabama,SLI,14295,92,94,4757,299,9053,14295,NA,NA,NA
2008,Alabama,VI,447,NA,NA,155,NA,271,447,NA,NA,NA
2008,Alabama,ED,1527,NA,NA,585,21,913,1527,NA,NA,NA
2008,Alabama,OI,619,NA,NA,196,16,398,619,NA,NA,NA
2008,Alabama,OHI,6252,47,27,1893,70,4215,6252,NA,NA,NA
2008,Alabama,SLD,37863,262,116,17841,972,18672,37863,NA,NA,NA
2008,Alabama,DB,8,0,0,0,0,8,8,NA,NA,NA
2008,Alabama,MI,1388,7,11,583,27,760,1388,NA,NA,NA
